ticker,date,shifted
JAZZ,2010-10-11,-0.1599976122379303
ASRT,2011-01-28,0.901583731174469
ASRT,2011-04-29,0.5981871485710144
SGEN,2011-08-19,0.3131023645401001
PCRX,2011-10-31,0.6339650750160217
INCY,2011-11-16,0.8787140846252441
HALO,2011-12-08,0.0447227135300636
CRIS,2012-01-30,0.5162480473518372
CORT,2012-02-17,0.1154553294181823
PLX,2012-05-01,0.8542802929878235
EBS,2012-05-17,0.8872442245483398
SUPN,2012-10-22,-0.7133146524429321
EXEL,2012-11-29,0.7555480003356934
NAVB,2013-03-13,0.9230948686599731
ASRT,2013-05-31,0.9002429842948914
AVDL,2013-06-03,0.9464906454086304
TBPH,2013-06-21,-0.3505508303642273
SUPN,2013-08-19,0.9404237866401672
HALO,2013-10-14,-0.5254683494567871
ABBV,2013-11-13,0.9315096139907836
VNDA,2014-01-31,0.6873170733451843
ABBV,2014-02-12,0.9362404346466064
DRRX,2014-02-12,-0.7749227285385132
OMER,2014-06-02,0.5567784905433655
COLL,2014-06-06,0.9066792130470276
MNKD,2014-06-27,0.9120713472366332
EGRX,2014-07-02,0.9079836010932922
ASRT,2014-07-07,0.9445252418518066
EGRX,2014-07-23,0.9439130425453186
AKBA,2014-09-05,0.8975180983543396
HALO,2014-09-12,0.7292438745498657
NKTR,2014-09-16,0.2319701910018921
INCY,2014-12-04,0.9497845768928528
ABBV,2014-12-19,-0.8136988282203674
ENTA,2014-12-19,0.1570912450551986
VRTX,2014-12-29,-0.0661347955465316
ABBV,2015-01-29,0.9485793113708496
ABBV,2015-01-29,0.9471827149391174
VRTX,2015-03-17,0.9491082429885864
NKTR,2015-03-17,-0.7942506074905396
AMGN,2015-04-15,0.7260019183158875
JNJ,2015-04-16,0.9454392194747924
TBPH,2015-04-30,0.0418336987495422
VRTX,2015-07-02,0.9425547122955322
SGEN,2015-08-17,-0.1088763624429702
MACK,2015-10-22,-0.333338975906372
COLL,2015-10-25,0.9130097031593324
EXEL,2015-11-10,0.9450598359107972
NKTR,2015-11-16,-0.433925062417984
EBS,2015-11-24,0.9474726319313048
CHRS,2016-01-11,0.94588303565979
BMRN,2016-01-14,0.945024847984314
VRTX,2016-02-05,0.9081884622573853
JAZZ,2016-03-14,0.949350357055664
ASRT,2016-03-15,0.9279619455337524
EGRX,2016-03-18,0.9238553643226624
EXEL,2016-04-25,0.9279367327690125
ACAD,2016-04-29,0.9253023266792296
ACAD,2016-04-29,0.4337303936481476
AVDL,2016-05-02,0.9056409001350404
VNDA,2016-05-26,-0.0458853803575038
ICPT,2016-05-27,0.8584402203559875
MRNS,2016-06-13,0.9454199075698853
OPK,2016-06-21,0.8926499485969543
